,date,title,author,publisher,description
0,3/19/2023,STORM WATCH, C.J. Box,Putnam,The 23rd book in the Joe Pickett series. Joe and Nate might be on opposite sides for the first time.
1,3/19/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
2,3/19/2023,A DAY OF FALLEN NIGHT, Samantha Shannon,Bloomsbury,"A prequel to “The Priory of the Orange Tree.” When the Dreadmount erupts, several women must protect humankind."
3,3/19/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
4,3/19/2023,I HAVE SOME QUESTIONS FOR YOU, Rebecca Makkai,Viking,A film professor and podcaster is invited back to teach a course at the boarding school where her roommate was murdered.
5,3/19/2023,SOMEONE ELSE'S SHOES, Jojo Moyes,Pamela Dorman,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.
6,3/19/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
7,3/19/2023,THE ADVENTURES OF AMINA AL-SIRAFI, Shannon Chakraborty,Harper Voyager,A former pirate on the Indian Ocean is asked to retrieve her comrade’s kidnapped daughter.
8,3/19/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
9,3/19/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
10,3/19/2023,REMARKABLY BRIGHT CREATURES, Shel Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.
11,3/19/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
12,3/19/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
13,3/19/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
14,3/19/2023,MURDER YOUR EMPLOYER, Rupert Holmes,Avid Reader,"At the McMasters Conservatory for the Applied Arts, students learn how to “delete” someone."
15,3/12/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
16,3/12/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
17,3/12/2023,I HAVE SOME QUESTIONS FOR YOU, Rebecca Makkai,Viking,A film professor and podcaster is invited back to teach a course at the boarding school where her roommate was murdered.
18,3/12/2023,SOMEONE ELSE'S SHOES, Jojo Moyes,Pamela Dorman,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.
19,3/12/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
20,3/12/2023,MURDER YOUR EMPLOYER, Rupert Holmes,Avid Reader,"At the McMasters Conservatory for the Applied Arts, students learn how to “delete” someone."
21,3/12/2023,BURNER, Mark Greaney,Berkley,"The 12th book in the Gray Man series. Stolen records, the Russian mafia and the C.I.A. complicate things for Court Gentry and his lover."
22,3/12/2023,THE LAST KINGDOM, Steve Berry,Grand Central,The 17th book in the Cotton Malone series. Malone and Daniels battle adversaries in Bavaria.
23,3/12/2023,THE WRITING RETREAT, Julia Bartz,Atria/Emily Bestler,An aspiring writer goes on a writing retreat that might have life-changing or life-ending outcomes.
24,3/12/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
25,3/12/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
26,3/12/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
27,3/12/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
28,3/12/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
29,3/12/2023,REMARKABLY BRIGHT CREATURES, Shel Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.
30,3/5/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
31,3/5/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
32,3/5/2023,SOMEONE ELSE'S SHOES, Jojo Moyes,Pamela Dorman,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.
33,3/5/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
34,3/5/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
35,3/5/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
36,3/5/2023,ENCORE IN DEATH, J.D. Robb,St. Martin's,The 56th book of the In Death series. Eve Dallas investigates the mysterious death of a well-loved star of stage and screen.
37,3/5/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
38,3/5/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
39,3/5/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
40,3/5/2023,THE HOUSE OF WOLVES, James Patterson and Mike Lupica,"Little, Brown","After her father is murdered, Jenny Wolf becomes the head of a powerful family in California."
41,3/5/2023,REMARKABLY BRIGHT CREATURES, Shel Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.
42,3/5/2023,THE HOUSE OF EVE, Sadeqa Johnson,Simon &amp; Schuster,"Complications involving love, family and higher education impact the lives of two women living in the 1950s."
43,3/5/2023,THE LAST ORPHAN, Gregg Hurwitz,Minotaur,The eighth book in the Orphan X series. Evan Smoak must choose between his principles or his life.
44,3/5/2023,VICTORY CITY, Salman Rushdie,Random House,"After a battle in 14th-century southern India, a girl named Pampa Kampana becomes a vessel for a goddess and spends 250 years seeking to give women equal agency in a patriarchal world."
45,2/26/2023,ENCORE IN DEATH, J.D. Robb,St. Martin's,The 56th book of the In Death series. Eve Dallas investigates the mysterious death of a well-loved star of stage and screen.
46,2/26/2023,SOMEONE ELSE'S SHOES, Jojo Moyes,Pamela Dorman,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.
47,2/26/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
48,2/26/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
49,2/26/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
50,2/26/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
51,2/26/2023,VICTORY CITY, Salman Rushdie,Random House,"After a battle in 14th-century southern India, a girl named Pampa Kampana becomes a vessel for a goddess and spends 250 years seeking to give women equal agency in a patriarchal world."
52,2/26/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
53,2/26/2023,UNNATURAL HISTORY, Jonathan Kellerman,Ballantine,The 38th book in the Alex Delaware series. Alex and Milo investigate the murder of a wealthy photographer.
54,2/26/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
55,2/26/2023,THE HOUSE OF WOLVES, James Patterson and Mike Lupica,"Little, Brown","After her father is murdered, Jenny Wolf becomes the head of a powerful family in California."
56,2/26/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
57,2/26/2023,THE HOUSE OF EVE, Sadeqa Johnson,Simon &amp; Schuster,"Complications involving love, family and higher education impact the lives of two women living in the 1950s."
58,2/26/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
59,2/26/2023,MAAME, Jessica George,St. Martin's,"Maddie, the daughter of an overbearing mother recently returned from Ghana and a father suffering from Parkinson’s, begins to build a life for herself in London."
60,2/19/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
61,2/19/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
62,2/19/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
63,2/19/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
64,2/19/2023,MAAME, Jessica George,St. Martin's,"Maddie, the daughter of an overbearing mother recently returned from Ghana and a father suffering from Parkinson’s, begins to build a life for herself in London."
65,2/19/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
66,2/19/2023,THE HOUSE OF WOLVES, James Patterson and Mike Lupica,"Little, Brown","After her father is murdered, Jenny Wolf becomes the head of a powerful family in California."
67,2/19/2023,EXILES, Jane Harper,Flatiron,"Questions surrounding the case of a missing woman, which have weighed on Aaron Falk for the past year, emerge at a gathering in the southern Australian wine country."
68,2/19/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
69,2/19/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
70,2/19/2023,HOW TO SELL A HAUNTED HOUSE, Grady Hendrix,Berkley,"After her parents die, Louise encounters more than she expected in dealing with the family home."
71,2/19/2023,REMARKABLY BRIGHT CREATURES, Shel Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.
72,2/19/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
73,2/19/2023,HORSE, Geraldine Brooks,Viking,"The story of a racehorse, an enslaved groom and an itinerant painter reverberates in three different eras."
74,2/19/2023,FINLAY DONOVAN JUMPS THE GUN, Elle Cosimano,Minotaur,"The third book in the Finlay Donovan series. A mob boss, a contract killer and parenthood complicate things for Finlay and Vero."
75,2/12/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
76,2/12/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
77,2/12/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
78,2/12/2023,THE HOUSE OF WOLVES, James Patterson and Mike Lupica,"Little, Brown","After her father is murdered, Jenny Wolf becomes the head of a powerful family in California."
79,2/12/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
80,2/12/2023,HOW TO SELL A HAUNTED HOUSE, Grady Hendrix,Berkley,"After her parents die, Louise encounters more than she expected in dealing with the family home."
81,2/12/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
82,2/12/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
83,2/12/2023,HELL BENT, Leigh Bardugo,Flatiron,The second book in the Alex Stern series. Alex risks her future at Lethe and Yale to get Darlington out of purgatory.
84,2/12/2023,THE CABINET OF DR. LENG, Douglas Preston and Lincoln Child,Grand Central,The 21st book in the Pendergast series. Constance Greene travels back in time to prevent the deaths of her siblings.
85,2/12/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
86,2/12/2023,REMARKABLY BRIGHT CREATURES, Shel Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.
87,2/12/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
88,2/12/2023,HORSE, Geraldine Brooks,Viking,"The story of a racehorse, an enslaved groom and an itinerant painter reverberates in three different eras."
89,2/12/2023,THE LAST THING HE TOLD ME, Laura Dave,Simon &amp; Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
90,2/5/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
91,2/5/2023,THE CABINET OF DR. LENG, Douglas Preston and Lincoln Child,Grand Central,The 21st book in the Pendergast series. Constance Greene travels back in time to prevent the deaths of her siblings.
92,2/5/2023,THE HOUSE OF WOLVES, James Patterson and Mike Lupica,"Little, Brown","After her father is murdered, Jenny Wolf becomes the head of a powerful family in California."
93,2/5/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
94,2/5/2023,HOW TO SELL A HAUNTED HOUSE, Grady Hendrix,Berkley,"After her parents die, Louise encounters more than she expected in dealing with the family home."
95,2/5/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
96,2/5/2023,HELL BENT, Leigh Bardugo,Flatiron,The second book in the Alex Stern series. Alex risks her future at Lethe and Yale to get Darlington out of purgatory.
97,2/5/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
98,2/5/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
99,2/5/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
100,2/5/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
101,2/5/2023,THE SHARDS, Bret Easton Ellis,Knopf,"In Los Angeles in 1981, a prep school senior becomes obsessed with a new student at the same time he and his circle of friends are taunted by a serial killer."
102,2/5/2023,WITHOUT A TRACE, Danielle Steel,Delacorte,Charles Vincent meets someone who ignites his passion and must decide whether to walk away from his perfect-from-the-outside life.
103,2/5/2023,THE LAST THING HE TOLD ME, Laura Dave,Simon &amp; Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
104,2/5/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
105,1/29/2023,HELL BENT, Leigh Bardugo,Flatiron,The second book in the Alex Stern series. Alex risks her future at Lethe and Yale to get Darlington out of purgatory.
106,1/29/2023,THE HOUSE OF WOLVES, James Patterson and Mike Lupica,"Little, Brown","After her father is murdered, Jenny Wolf becomes the head of a powerful family in California."
107,1/29/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
108,1/29/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
109,1/29/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
110,1/29/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
111,1/29/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
112,1/29/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
113,1/29/2023,WITHOUT A TRACE, Danielle Steel,Delacorte,Charles Vincent meets someone who ignites his passion and must decide whether to walk away from his perfect-from-the-outside life.
114,1/29/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
115,1/29/2023,JUST THE NICEST COUPLE, Mary Kubica,Park Row,Nina Hayes searches for her missing husband while a couple close to her cover their tracks.
116,1/29/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
117,1/29/2023,BABEL, R.F. Kuang,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China."
118,1/29/2023,HORSE, Geraldine Brooks,Viking,"The story of a racehorse, an enslaved groom and an itinerant painter reverberates in three different eras."
119,1/29/2023,TRUST, Hernan Diaz,Riverhead,Competing narratives about a wealthy New York couple have new revelations over the course of a century.
120,1/22/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
121,1/22/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
122,1/22/2023,WITHOUT A TRACE, Danielle Steel,Delacorte,Charles Vincent meets someone who ignites his passion and must decide whether to walk away from his perfect-from-the-outside life.
123,1/22/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
124,1/22/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
125,1/22/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
126,1/22/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
127,1/22/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
128,1/22/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
129,1/22/2023,BABEL, R.F. Kuang,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China."
130,1/22/2023,AGE OF VICE, Deepti Kapoor,Riverhead,"A servant, an heir and a journalist are caught up in a complicated series of events involving romance and corruption in India."
131,1/22/2023,A WORLD OF CURIOSITIES, Louise Penny,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns."
132,1/22/2023,THE VILLA, Rachel Hawkins,St. Martin's,"Two women visit an Italian villa where events in the 1970s sparked a horror novel, a platinum album and a murder."
133,1/22/2023,REMARKABLY BRIGHT CREATURES, Shel Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.
134,1/22/2023,DREAMLAND, Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.
135,1/15/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
136,1/15/2023,BABEL, R.F. Kuang,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China."
137,1/15/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
138,1/15/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
139,1/15/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
140,1/15/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
141,1/15/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
142,1/15/2023,VERITY, Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.
143,1/15/2023,DREAMLAND, Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.
144,1/15/2023,A WORLD OF CURIOSITIES, Louise Penny,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns."
145,1/15/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
146,1/15/2023,TRIPLE CROSS, James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.
147,1/15/2023,THE MARRIAGE PORTRAIT, Maggie O'Farrell,Knopf,"In 1550s Florence, the future of the third daughter of the grand duke seems uncertain after she is thrust into a marriage."
148,1/15/2023,GOING ROGUE, Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.
149,1/15/2023,TOM CLANCY: RED WINTER, Marc Cameron,Putnam,The 22nd book in the Jack Ryan series. Ryan goes behind the Berlin Wall in 1985 to investigate an East German defector.
150,1/8/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
151,1/8/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
152,1/8/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
153,1/8/2023,DREAMLAND, Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.
154,1/8/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
155,1/8/2023,TRIPLE CROSS, James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.
156,1/8/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
157,1/8/2023,TOM CLANCY: RED WINTER, Marc Cameron,Putnam,The 22nd book in the Jack Ryan series. Ryan goes behind the Berlin Wall in 1985 to investigate an East German defector.
158,1/8/2023,A WORLD OF CURIOSITIES, Louise Penny,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns."
159,1/8/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
160,1/8/2023,BABEL, R.F. Kuang,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China."
161,1/8/2023,NO PLAN B, Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.
162,1/8/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
163,1/8/2023,VERITY, Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.
164,1/8/2023,GOING ROGUE, Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.
165,1/1/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
166,1/1/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
167,1/1/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
168,1/1/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
169,1/1/2023,DREAMLAND, Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.
170,1/1/2023,TRIPLE CROSS, James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.
171,1/1/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
172,1/1/2023,A WORLD OF CURIOSITIES, Louise Penny,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns."
173,1/1/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
174,1/1/2023,TOM CLANCY: RED WINTER, Marc Cameron,Putnam,The 22nd book in the Jack Ryan series. Ryan goes behind the Berlin Wall in 1985 to investigate an East German defector.
175,1/1/2023,DESERT STAR, Michael Connelly,"Little, Brown",Ballard and Bosch bury old resentments as they go after two killers.
176,1/1/2023,GOING ROGUE, Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.
177,1/1/2023,NO PLAN B, Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.
178,1/1/2023,BABEL, R.F. Kuang,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China."
179,1/1/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
180,12/25/2022,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
181,12/25/2022,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
182,12/25/2022,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
