,date,title,author,publisher,description
9565,3/28/2010,WORST CASE, James Patterson and Michael Ledwidge,"Little, Brown",A New York detective raising 10 children alone investigates a string of kidnappings and killings of teenagers by a villain with unusual motives.
9566,3/28/2010,HELL GATE, Linda Fairstein,Dutton,"Alexandra Cooper, a Manhattan assistant district attorney, discovers a link between the wreck of a ship carrying human cargo and a sex scandal involving a promising New York congressman."
9567,3/28/2010,FANTASY IN DEATH, J. D. Robb,Putnam,"Lt. Eve Dallas investigates the murder of a fantasy-game entrepreneur; by Nora Roberts, writing pseudonymously."
9568,3/28/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9569,3/28/2010,BIG GIRL, Danielle Steel,Delacorte,A woman with weight issues learns to accept herself.
9570,3/28/2010,SPLIT IMAGE, Robert B. Parker,Putnam,"Jesse Stone, the police chief of Paradise, Mass., copes with divorce, the bottle and the murder of a mob soldier."
9571,3/28/2010,BLACK MAGIC SANCTION, Kim Harrison,Eos/HarperCollins,A witch who is also a bounty hunter is shunned by her kind; the eighth Rachel Morgan book.
9572,3/21/2010,HOUSE RULES, Jodi Picoult,Atria,A teenage boy with Asperger’s syndrome is accused of murder.
9573,3/21/2010,THE HELP, Kathryn Stockett,Amy Einhorn/Putnam,A young white woman and two black maids in 1960s ­Mississippi.
9574,3/21/2010,FANTASY IN DEATH, J. D. Robb,Putnam,"Lt. Eve Dallas investigates the murder of a fantasy-game entrepreneur; by Nora Roberts, writing pseudonymously."
9575,3/21/2010,ABRAHAM LINCOLN: VAMPIRE HUNTER, Seth Grahame-Smith,Grand Central,Lincoln fights the undead; by the author of “Pride and Prejudice and Zombies.
9576,3/21/2010,WORST CASE, James Patterson and Michael Ledwidge,"Little, Brown",A New York detective raising 10 children alone investigates a string of kidnappings and killings of teenagers by a villain with unusual motives.
9577,3/21/2010,BIG GIRL, Danielle Steel,Delacorte,A woman with weight issues learns to accept herself.
9578,3/21/2010,SPLIT IMAGE, Robert B. Parker,Putnam,"Jesse Stone, the police chief of Paradise, Mass., copes with divorce, the bottle and the murder of a mob soldier."
9579,3/21/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9580,3/21/2010,THE POSTMISTRESS, Sarah Blake,Amy Einhorn/Putnam,"

Ordinary life in a Massachusetts small town and an American radio reporter in England in the 1940s."
9581,3/21/2010,THE MAN FROM BEIJING, Henning Mankell,Knopf,A massacre in a tiny Swedish village has roots in the past and on other continents.
9582,3/21/2010,THE GIRL WHO PLAYED WITH FIRE, Stieg Larsson,Knopf,A Swedish hacker becomes a murder suspect.
9583,3/21/2010,POOR LITTLE BITCH GIRL, Jackie Collins,St. Martin’s,"Hollywood murder, three beautiful 20-something high school friends, a hot New York club owner."
9584,3/14/2010,FANTASY IN DEATH, J. D. Robb,Putnam,"Lt. Eve Dallas investigates the murder of a fantasy-game entrepreneur; by Nora Roberts, writing pseudonymously."
9585,3/14/2010,THE HELP, Kathryn Stockett,Amy Einhorn/Putnam,A young white woman and two black maids in 1960s ­Mississippi.
9586,3/14/2010,BLACK MAGIC SANCTION, Kim Harrison,Eos/HarperCollins,A witch who is also a bounty hunter is shunned by her kind; the eighth Rachel Morgan book.
9587,3/14/2010,SPLIT IMAGE, Robert B. Parker,Putnam,"Jesse Stone, the police chief of Paradise, Mass., copes with divorce, the bottle and the murder of a mob soldier."
9588,3/14/2010,BIG GIRL, Danielle Steel,Delacorte,A woman with weight issues learns to accept herself.
9589,3/14/2010,WORST CASE, James Patterson and Michael Ledwidge,"Little, Brown",A New York detective raising 10 children alone investigates a string of kidnappings and killings of teenagers by a villain with unusual motives.
9590,3/14/2010,THE MAN FROM BEIJING, Henning Mankell,Knopf,A massacre in a tiny Swedish village has roots in the past and on other continents.
9591,3/14/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9592,3/14/2010,WINTER GARDEN, Kristin Hannah,St. Martin’s,"After their father’s death, two sisters must cooperate to run his apple orchard and care for their difficult mother."
9593,3/14/2010,THE POSTMISTRESS, Sarah Blake,Amy Einhorn/Putnam,"

Ordinary life in a Massachusetts small town and an American radio reporter in England in the 1940s."
9594,3/14/2010,POOR LITTLE BITCH GIRL, Jackie Collins,St. Martin’s,"Hollywood murder, three beautiful 20-something high school friends, a hot New York club owner."
9595,3/14/2010,THE GIRL WHO PLAYED WITH FIRE, Stieg Larsson,Knopf,A Swedish hacker becomes a murder suspect.
9596,3/14/2010,HORNS, Joe Hill,Morrow/HarperCollins,A distraught young man discovers that he has grown horns.
9597,3/7/2010,THE HELP, Kathryn Stockett,Amy Einhorn/Putnam,A young white woman and two black maids in 1960s ­Mississippi.
9598,3/7/2010,WORST CASE, James Patterson and Michael Ledwidge,"Little, Brown",A New York detective raising 10 children alone investigates a string of kidnappings and killings of teenagers by a villain with unusual motives.
9599,3/7/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9600,3/7/2010,POOR LITTLE BITCH GIRL, Jackie Collins,St. Martin’s,"Hollywood murder, three beautiful 20-something high school friends, a hot New York club owner."
9601,3/7/2010,WINTER GARDEN, Kristin Hannah,St. Martin’s,"After their father’s death, two sisters must cooperate to run his apple orchard and care for their difficult mother."
9602,3/7/2010,THE MAN FROM BEIJING, Henning Mankell,Knopf,A massacre in a tiny Swedish village has roots in the past and on other continents.
